Date,AMD,NVDA,INTC
2016-04-28,3.609999895095825,35.63376235961914,28.27322769165039
2016-04-29,3.549999952316284,34.9742431640625,27.518911361694336
2016-05-02,3.740000009536743,35.4368896484375,27.818822860717773
2016-05-03,3.5999999046325684,35.01361846923828,27.591617584228516
2016-05-04,3.5999999046325684,34.216278076171875,27.362445831298828
2016-05-05,3.6600000858306885,34.423004150390625,27.40828514099121
2016-05-06,3.680000066757202,34.77737045288086,27.536617279052734
2016-05-09,3.6500000953674316,34.728153228759766,27.31661605834961
2016-05-10,3.640000104904175,35.39751052856445,27.628280639648438
2016-05-11,3.6500000953674316,35.49594497680664,27.554950714111328
2016-05-12,3.5899999141693115,35.01361846923828,27.279953002929688
2016-05-13,3.6700000762939453,40.338993072509766,27.417449951171875
2016-05-16,3.7899999618530273,41.530052185058594,27.857446670532227
2016-05-17,3.7899999618530273,41.618656158447266,27.48161506652832
2016-05-18,3.8399999141693115,42.6817626953125,27.49078369140625
2016-05-19,3.7699999809265137,42.86878967285156,27.160785675048828
2016-05-20,3.869999885559082,43.63658905029297,27.637447357177734
2016-05-23,4.039999961853027,43.70549392700195,27.710783004760742
2016-05-24,4.199999809265137,44.76642990112305,28.47161293029785
2016-05-25,4.179999828338623,44.57890319824219,28.774112701416016
2016-05-26,4.349999904632568,45.05262756347656,28.865779876708984
2016-05-27,4.599999904632568,45.299354553222656,28.939111709594727
2016-05-31,4.570000171661377,46.10862731933594,28.95744514465332
2016-06-01,4.429999828338623,46.19744873046875,29.02161407470703
2016-06-02,4.239999771118164,46.523136138916016,29.11328125
2016-06-03,4.159999847412109,45.87176513671875,28.98495101928711
2016-06-06,4.46999979019165,45.63491439819336,29.039945602416992
2016-06-07,4.510000228881836,45.723731994628906,29.22327995300293
2016-06-08,4.460000038146973,45.57569122314453,29.232444763183594
2016-06-09,4.519999980926514,46.75999450683594,29.278282165527344
2016-06-10,4.320000171661377,45.595436096191406,29.36994743347168
2016-06-13,4.400000095367432,46.17771911621094,29.489107131958008
2016-06-14,4.389999866485596,46.266536712646484,29.461610794067383
2016-06-15,4.420000076293945,46.74025344848633,28.975784301757812
2016-06-16,4.75,46.92776107788086,29.04911231994629
2016-06-17,5.260000228881836,46.10862731933594,29.11328125
2016-06-20,5.099999904632568,46.93764877319336,29.489107131958008
2016-06-21,5.449999809265137,46.65143585205078,29.626611709594727
2016-06-22,5.019999980926514,46.61195373535156,29.59911346435547
2016-06-23,5.210000038146973,47.855472564697266,30.24078369140625
2016-06-24,4.880000114440918,45.1315803527832,28.920780181884766
2016-06-27,4.71999979019165,44.64799499511719,28.159948348999023
2016-06-28,5.119999885559082,45.299354553222656,28.59078025817871
2016-06-29,5.130000114440918,46.03954315185547,29.26911735534668
2016-06-30,5.139999866485596,46.39483642578125,30.066612243652344
2016-07-01,5.070000171661377,46.049407958984375,30.020780563354492
2016-07-05,4.960000038146973,46.73038101196289,29.956613540649414
2016-07-06,5.039999961853027,47.02645492553711,30.222444534301758
2016-07-07,5.019999980926514,48.25022888183594,30.433277130126953
2016-07-08,5.099999904632568,50.18457794189453,31.166608810424805
2016-07-11,5.010000228881836,51.33927536010742,31.51494026184082
